Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
41,0.14956855225311602,1102,0.2062780269058296,1,2,0.14686468646864687,1,1,2,0.14795918367346939,94,3,2,0.17484662576687046,4,0.2553191489361702,5993,19479,8,0.16122448979591836,0.30528846153846156,11,3,1,80,0,8,0,1,6,4,0,5,1
49,0.2490974729235817,279,0.1383975026014568,8,1,0.14686468646864687,1,2,3,0.17006802721088435,61,2,2,0.16095890410958943,2,0.12481426448736999,5130,24907,1,0.16122448979591836,0.10436432637571158,23,4,4,80,1,10,3,3,10,7,1,7,0
37,0.14956855225311602,1373,0.1383975026014568,2,2,0.13420118338933018,1,4,4,0.17006802721088435,92,2,1,0.23938223937897848,3,0.2553191489361702,2090,2396,6,0.16122448979591836,0.30528846153846156,15,3,2,80,0,7,3,3,0,0,0,0,1
33,0.2490974729235817,1392,0.1383975026014568,3,4,0.14686468646864687,1,5,4,0.14795918367346939,56,3,1,0.16095890410958943,3,0.12481426448736999,2909,23159,1,0.16122448979591836,0.30528846153846156,11,3,3,80,0,8,3,3,8,7,3,0,0
27,0.14956855225311602,591,0.1383975026014568,2,1,0.13577586206896552,1,7,1,0.17006802721088435,40,3,1,0.23938223937897848,2,0.12481426448736999,3468,16632,9,0.16122448979591836,0.10436432637571158,12,3,4,80,1,6,3,3,2,2,2,2,0
32,0.2490974729235817,1005,0.1383975026014568,2,2,0.14686468646864687,1,8,4,0.17006802721088435,79,3,1,0.23938223937897848,4,0.2553191489361702,3068,11864,0,0.16122448979591836,0.10436432637571158,13,3,3,80,0,8,2,2,7,7,3,6,0
59,0.14956855225311602,1324,0.1383975026014568,3,3,0.13577586206896552,1,10,3,0.14795918367346939,81,4,1,0.23938223937897848,1,0.12481426448736999,2670,9964,4,0.16122448979591836,0.30528846153846156,20,4,1,80,3,12,3,2,1,0,0,0,0
30,0.14956855225311602,1358,0.1383975026014568,24,1,0.14686468646864687,1,11,4,0.17006802721088435,67,3,1,0.23938223937897848,3,0.10091743119266336,2693,13335,1,0.16122448979591836,0.10436432637571158,22,4,2,80,1,1,2,3,1,0,0,0,0
38,0.2490974729235817,216,0.1383975026014568,23,3,0.14686468646864687,1,12,4,0.17006802721088435,44,2,3,0.06896586105729074,3,0.2553191489361702,9526,8787,0,0.16122448979591836,0.10436432637571158,21,4,2,80,0,10,2,3,9,7,1,8,0
36,0.14956855225311602,1299,0.1383975026014568,27,3,0.13577586206896552,1,13,3,0.17006802721088435,94,3,2,0.06870368828064846,3,0.12481426448736999,5237,16577,6,0.16122448979591836,0.10436432637571158,13,3,2,80,2,17,3,2,7,7,7,7,0
35,0.14956855225311602,809,0.1383975026014568,16,3,0.13577586206896552,1,14,1,0.17006802721088435,84,4,1,0.23938223937897848,2,0.12481426448736999,2426,16479,0,0.16122448979591836,0.10436432637571158,13,3,3,80,1,6,5,3,5,4,0,3,0
29,0.14956855225311602,153,0.1383975026014568,15,2,0.14686468646864687,1,15,4,0.14795918367346939,49,2,2,0.23938223937897848,3,0.2553191489361702,4193,12682,0,0.16122448979591836,0.30528846153846156,12,3,4,80,0,10,3,3,9,5,0,8,0
31,0.14956855225311602,670,0.1383975026014568,26,1,0.14686468646864687,1,16,1,0.17006802721088435,31,3,1,0.16095890410958943,3,0.10091743119266336,2911,15170,1,0.16122448979591836,0.10436432637571158,17,3,4,80,1,5,1,2,5,2,4,3,0
