Feature,Importance
numeric__TotalWorkingYears,0.17430082329528546
categorical__OverTime_Yes,0.1413723137854225
numeric__NumCompaniesWorked,0.11602619321614083
numeric__StockOptionLevel,0.08560665365699725
numeric__MonthlyIncome,0.08078669182939997
numeric__Age,0.07504582290210066
numeric__DistanceFromHome,0.05344018517326989
numeric__PercentSalaryHike,0.05096716193338441
numeric__DailyRate,0.05043346492164999
categorical__Department_Sales,0.026579433279966185
numeric__WorkLifeBalance,0.025920324806970735
numeric__YearsSinceLastPromotion,0.020273077895039304
categorical__JobRole_Sales Representative,0.019276622499520175
categorical__JobRole_Sales Executive,0.01660957823672404
numeric__JobLevel,0.01460350698059937
categorical__Gender_Female,0.013765032591079024
categorical__JobRole_Research Scientist,0.012397478817409088
categorical__OverTime_No,0.007872078187862952
numeric__JobSatisfaction,0.007271482551696406
categorical__MaritalStatus_Divorced,0.004154664540965846
numeric__YearsAtCompany,0.002001672669140929
numeric__HourlyRate,0.0012957362293749618
numeric__TrainingTimesLastYear,0.0
numeric__PerformanceRating,0.0
numeric__RelationshipSatisfaction,0.0
numeric__StandardHours,0.0
numeric__JobInvolvement,0.0
numeric__MonthlyRate,0.0
numeric__EmployeeCount,0.0
numeric__EnvironmentSatisfaction,0.0
numeric__Education,0.0
categorical__Department_Human Resources,0.0
categorical__Department_Research & Development,0.0
numeric__YearsInCurrentRole,0.0
categorical__BusinessTravel_Travel_Frequently,0.0
categorical__BusinessTravel_Travel_Rarely,0.0
numeric__YearsWithCurrManager,0.0
categorical__BusinessTravel_Non-Travel,0.0
categorical__EducationField_Technical Degree,0.0
categorical__EducationField_Other,0.0
categorical__EducationField_Medical,0.0
categorical__EducationField_Marketing,0.0
categorical__EducationField_Human Resources,0.0
categorical__EducationField_Life Sciences,0.0
categorical__JobRole_Human Resources,0.0
categorical__Gender_Male,0.0
categorical__JobRole_Research Director,0.0
categorical__JobRole_Manufacturing Director,0.0
categorical__JobRole_Manager,0.0
categorical__JobRole_Laboratory Technician,0.0
categorical__JobRole_Healthcare Representative,0.0
categorical__MaritalStatus_Married,0.0
categorical__Over18_Y,0.0
categorical__MaritalStatus_Single,0.0
