Feature,Importance
MonthlyIncome,373
DailyRate,249
HourlyRate,213
JobRole,210
Age,196
DistanceFromHome,193
MonthlyRate,191
NumCompaniesWorked,135
PercentSalaryHike,122
RelationshipSatisfaction,116
EnvironmentSatisfaction,113
JobInvolvement,103
OverTime,103
JobSatisfaction,99
YearsWithCurrManager,90
WorkLifeBalance,89
TotalWorkingYears,89
StockOptionLevel,78
TrainingTimesLastYear,74
YearsAtCompany,71
BusinessTravel,67
YearsSinceLastPromotion,64
YearsInCurrentRole,60
EducationField,48
Education,47
MaritalStatus,43
Department,38
Gender,28
JobLevel,22
EmployeeCount,0
StandardHours,0
Over18,0
PerformanceRating,0
