Feature,Importance
numeric__MonthlyIncome,0.08651639208504358
numeric__TotalWorkingYears,0.08442702778751408
numeric__Age,0.07090034146014851
numeric__YearsAtCompany,0.04576906392597024
numeric__DistanceFromHome,0.04468627474622558
categorical__OverTime_No,0.043404848252338375
numeric__DailyRate,0.04259678403084712
numeric__YearsWithCurrManager,0.03885875035972882
numeric__MonthlyRate,0.03857699179908644
numeric__StockOptionLevel,0.03850109994011422
categorical__OverTime_Yes,0.03832221606943143
numeric__NumCompaniesWorked,0.03725177116037112
numeric__HourlyRate,0.03425727311111502
numeric__EnvironmentSatisfaction,0.031001232481184776
numeric__YearsInCurrentRole,0.023367843335392907
numeric__PercentSalaryHike,0.021585674451445346
numeric__WorkLifeBalance,0.021244092684855814
numeric__JobSatisfaction,0.01994997663640573
categorical__MaritalStatus_Single,0.019737188767484204
numeric__YearsSinceLastPromotion,0.0185341728237579
numeric__RelationshipSatisfaction,0.018466291192688646
numeric__JobLevel,0.017594531796783792
numeric__JobInvolvement,0.016977293824474184
numeric__Education,0.013638313933365304
numeric__TrainingTimesLastYear,0.011833440800558542
categorical__JobRole_Research Scientist,0.01130672590911516
categorical__JobRole_Laboratory Technician,0.010202125132124483
categorical__BusinessTravel_Travel_Frequently,0.010081925490004827
categorical__MaritalStatus_Married,0.009746463124400487
categorical__Department_Research & Development,0.009581509574550564
categorical__JobRole_Sales Executive,0.009274396737098274
categorical__Department_Sales,0.007789333321540812
categorical__Gender_Male,0.007135607569618694
categorical__BusinessTravel_Travel_Rarely,0.005974669167877561
categorical__JobRole_Sales Representative,0.0056885315970399974
categorical__EducationField_Life Sciences,0.005508609325840409
categorical__Gender_Female,0.005052392452293438
categorical__MaritalStatus_Divorced,0.004165267024277993
categorical__EducationField_Marketing,0.004126192463698453
categorical__EducationField_Medical,0.003919262709519417
numeric__PerformanceRating,0.0026502346067832335
categorical__EducationField_Technical Degree,0.0018758169992667256
categorical__JobRole_Manufacturing Director,0.0016965993131602764
categorical__BusinessTravel_Non-Travel,0.0016651612948414185
categorical__JobRole_Healthcare Representative,0.0015309232463994868
categorical__EducationField_Human Resources,0.0015115483114256866
categorical__JobRole_Human Resources,0.0008102322549973371
categorical__JobRole_Manager,0.00047778112984387793
categorical__Department_Human Resources,0.000174344464047606
categorical__JobRole_Research Director,4.920200420721505e-05
categorical__EducationField_Other,6.257319694820041e-06
